"local","salary","department","tools","else_need","url"
"台北市中山區","月薪28,000~35,000元"," 不拘 "," 不拘 "," 1. 具Excel、Word、PPT製作能力
2. 對數字敏感&細心 ","https://www.104.com.tw/job/6z1o9?jobsource=jolist_c_relevance"
"台北市松山區","月薪35,000元以上"," 數理統計相關、資訊工程相關 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/6vdp2?jobsource=jolist_c_relevance"
"台中市西屯區","月薪32,000~60,000元"," 數理統計相關、統計學相關、資訊管理相關 ","C、C#、C++、Java、Matlab、Python、R、Excel、PowerPoint贊助提升專業能力"," 1.	有使用R、Tableau、PowerBi、Google Data Studio、Google Sheet、Google Slides、SQL(DQL)使用經驗尤佳 
2.	R、Java、C、C++、C#、Python、Matlab至少熟悉其中一項的使用 
3.	有Data Mining、Machine Learning概念尤佳 
4.	必須攜帶以下文件應試 
i.	自薦信 
ii.	自傳 
5.	攜帶以下文件應試者尤佳: 
i.	在學期間成績單 (大學以上) 
ii.	大學專題、碩士論文、已發表的期刊或會議論文 
iii.	應試者自行準備的分析報告 (主題不拘，紙本或應試當日簡報皆可)
 ","https://www.104.com.tw/job/6j51q?jobsource=jolist_c_relevance"
"台中市南區","月薪34,000元以上"," 不拘 "," 不拘 "," 有資料庫實務經驗
擅長統計分析
臨床醫護經驗 ","https://www.104.com.tw/job/77va2?jobsource=jolist_c_relevance"
"台北市松山區","月薪35,000元以上"," 一般數學相關、應用數學相關 ","MySQL、Excel、PowerPoint、Word、Power BI<U+200B>贊助提升專業能力"," 【職務條件】
須熟悉Tableau / Power BI數據應用操作分析 ","https://www.104.com.tw/job/775vu?jobsource=jolist_c_relevance"
"台北市南港區","待遇面議"," 資訊管理相關、資訊工程相關、數理統計相關 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/75hic?jobsource=jolist_c_relevance"
"台中市南區","月薪50,000~60,000元"," 不拘 ","Python、R、Excel、PowerPoint、SPSS贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/7a385?jobsource=jolist_c_relevance"
"新北市中和區","待遇面議"," 不拘 "," 不拘 "," 1. 認真負責，良好溝通能力，團隊配合度高。
2. 豐富的客戶提案開發與服務經驗。
3. 具虛擬化的基礎佳。
4. 抗壓性及適應能力強、有團隊合作精神。
5. 具資訊安全認證或相關訓練尤佳(如：個資、ISO27001、ISO20000、ITIL等)。 ","https://www.104.com.tw/job/4wlhn?jobsource=jolist_c_relevance"
"新北市三重區","待遇面議"," 不拘 "," 不拘 "," 1. 具備2年以上機器學習、人工智慧或類神經網路相關經驗，5年以上數據分析、處理等相關經驗
2. 具有策略邏輯思考、分析判斷與溝通能力
3. 對於數據與分析具有熱情。
4. 具有客戶經驗。
5. 熟悉雲端服務產品、SaaS、雲端佈建

確認投遞履歷前請先至伊雲谷官網及伊雲谷產品網站https://product.ecloudvalley.com 了解一下我們吧！ ","https://www.104.com.tw/job/6az1x?jobsource=jolist_c_relevance"
"台北市大安區","月薪32,000~40,000元"," 商業及管理學科類、大眾傳播學科類、經濟社會及心理學科類 "," 不拘 "," 1. 具簡報與報告製作能力，能以文書或圖像化表達
2. 對資料分析有熱忱、喜歡定義問題並加以解答、喜歡接觸多元產業領域
3. 若具以下經驗，歡迎加註於自我推薦信中，並提供相關資料
- 行銷、廣告、公關、市場研究、資料分析等相關領域實務經驗
- 實際應用統計或分析工具之經驗 ","https://www.104.com.tw/job/5qu4l?jobsource=jolist_c_relevance"
"台中市北區","月薪35,000~60,000元"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/5k2x7?jobsource=jolist_c_relevance"
"台中市西屯區","待遇面議"," 資訊工程相關、資訊管理相關 ","ASP.NET、C#、Java、JavaScript贊助提升專業能力"," 輕型機車 ","https://www.104.com.tw/job/3nmqn?jobsource=jolist_c_relevance"
"新北市新店區","月薪60,000元以上"," 資訊工程相關、其他數學及電算機科學相關 ","OOP、PHP、Go、JavaScript、Node.js贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/7ah9k?jobsource=jolist_c_relevance"
"台北市中正區","月薪35,000元以上"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/747n2?jobsource=jolist_c_relevance"
"台北市中正區","待遇面議"," 資訊工程相關、數理統計相關、其他數學及電算機科學相關 ","PHP、Python、Node.js贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/781uy?jobsource=jolist_c_relevance"
"新北市板橋區","月薪55,000元以上"," 不拘 ","C#贊助提升專業能力"," 1. WebApi,WCF 等Restful Service 及OAuth 開發經驗 
2. 熟悉通訊傳輸協定，如 SocketServer,WebStocket 
3. 熟悉 .Net Core 或 .Net FrameWork 4.5.2 以上
4. 熟悉分佈式，多線程等高性能架構相關技術 
5. 熟悉MSSQL(或其他關聯式資料庫) 
6. 熟悉Redis,Mongodb(或其他NoSQL) 
7. 熟悉 Scrum,Agile ","https://www.104.com.tw/job/70s6v?jobsource=jolist_c_relevance"
"台北市內湖區","月薪30,000元以上"," 不拘 ","ASP.NET、C、C#、C++、Java、Python、Go、MySQL、J2EE、Node.js贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6huch?jobsource=jolist_c_relevance"
"台北市松山區","待遇面議"," 不拘 ","Linux、PHP、JavaScript贊助提升專業能力"," 【核心能力】

1. 喜歡團隊合作文化。
2. 擅長JavaScript，HTML，CSS。
3. 熟知元件測試、並善用版本管理工具。
4. 在乎使用者的體驗，並擁有數據分析意識。
5. 積極主動、自我成長。
 
【加分條件】

1. APP撰寫經驗。
2. 能洞察使用者體驗。
3. 能將需求具體的呈現。
4. 動態資訊儀表板建置經驗。
5. 簡潔編程風格，善用註解並考量架構性與維護性。 ","https://www.104.com.tw/job/78bs8?jobsource=jolist_c_relevance"
"台中市北區","月薪36,000~45,000元"," 資訊管理相關、資訊工程相關 "," 不拘 "," 普通重型機車 ","https://www.104.com.tw/job/4zcmj?jobsource=jolist_c_relevance"
"台中市西屯區","待遇面議"," 不拘 ","MySQL、JavaScript、Node.js贊助提升專業能力"," 輕型機車、普通重型機車、普通小型車 ","https://www.104.com.tw/job/76xbj?jobsource=jolist_c_relevance"
"台中市南屯區","月薪45,000~60,000元"," 資訊工程相關 ","Linux、Git贊助提升專業能力"," ▲加分條件：
1. 曾有Windows Application Programming (win32/UWP)開發經驗
2. 有滲透測試或數位鑑定經驗
3. 熟悉Data Shippers
4. 持有OSCP、CHFI
 ","https://www.104.com.tw/job/722bl?jobsource=jolist_c_relevance"
"台北市中山區","待遇面議"," 不拘 ","Go贊助提升專業能力"," 1.熟練使用go語言,有遊戲服務器併發線程開發經驗
2.熟練使用各種緩存技術,比如redis,memcache
3.熟悉各種網絡協議,有網絡編程相關經驗
4.有大數據儲存以及優化相關經驗
5.心思細膩,抗壓能力強.
6.具備良好的溝通合作技巧，較強的責任心及團隊合作精神 ","https://www.104.com.tw/job/6fh0z?jobsource=jolist_c_relevance"
"台北市信義區","待遇面議"," 資訊工程相關、應用數學相關 ","Git、MS SQL、Node.js贊助提升專業能力"," 
Requirements
■ Familiar with Node.js, NPM, and Express Framework
■ Deep understanding of relevant technology including MongoDB, Redis, SQL, and file storage solutions.
■ Familiar with git.
■ Experiences on serverless architecture is a plus.
■ Knowledge of GCP is a plus.
■ Past experiences on FFMpeg is a plus.




 ","https://www.104.com.tw/job/79lrt?jobsource=jolist_c_relevance"
"台北市松山區","月薪70,000~100,000元"," 不拘 ","Git、Python、MySQL、CSS、Node.js、Django贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/71lmv?jobsource=jolist_c_relevance"
