"local","salary","department","tools","else_need","url"
"新北市五股區","月薪38,000~48,000元"," 資訊工程相關、數理統計相關、應用數學相關 ","ASP.NET、C#、MS SQL、MySQL贊助提升專業能力"," 普通重型機車、普通小型車 ","https://www.104.com.tw/job/7ah4n?jobsource=jolist_a_relevance"
"台北市松山區","月薪40,000~120,000元"," 不拘 ","Git、PHP、Python、Go、MySQL、AWS、HTML、JavaScript、CSS贊助提升專業能力"," 1. CI/CD部屬
2. SWOOLE ","https://www.104.com.tw/job/721tz?jobsource=jolist_a_relevance"
"台北市松山區","年薪800,000~1,200,000元"," 資訊工程相關、資訊管理相關、其他數學及電算機科學相關 ","PHP、MySQL、AWS贊助提升專業能力"," 加分條件
1. 熟悉了解Linux運作為佳
2. 熟悉Laravel ","https://www.104.com.tw/job/73usa?jobsource=jolist_a_relevance"
"台北市松山區","月薪70,000~150,000元"," 不拘 ","Git、Go、PL/SQL贊助提升專業能力"," 投遞本職務時請先確定相關工作經驗已逾1年。 ","https://www.104.com.tw/job/72z8h?jobsource=jolist_a_relevance"
"台北市內湖區","月薪50,000~100,000元"," 不拘 ","Java、Python贊助提升專業能力"," 
 ","https://www.104.com.tw/job/6pe5x?jobsource=jolist_a_relevance"
"台北市松山區","月薪75,000~90,000元"," 不拘 ","Git、Java、Spring、Database Management、PostgreSQL、AWS、HTTP贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/7a9qk?jobsource=jolist_a_relevance"
"台中市西屯區","月薪32,000~60,000元"," 不拘 ","Linux、Github、Git、MySQL贊助提升專業能力"," 【 加分條件】 
具有Docker/jenkins/NGINX/shell 維運佈署經驗。
曾參與大型專案開發、自動化測試、壓力測試等經驗。
擁有良好溝通能力與執行力，並具備團隊合作能力者尤佳。
具備獨立思考能力 & 熱情開放特質 & 對技術研究有熱情。
熟悉微服務系統架構。 ","https://www.104.com.tw/job/6j4w2?jobsource=jolist_a_relevance"
"高雄市鼓山區","月薪35,000~45,000元"," 不拘 ","AJAX、PHP、MySQL、HTML、JavaScript、jQuery、CSS贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/7ap9b?jobsource=jolist_a_relevance"
"台中市西屯區","月薪50,000~65,000元"," 不拘 ","Linux、Git、PHP、Python、MySQL、PostgreSQL、RDBMS、AWS、Apache SOAP贊助提升專業能力"," 輕型機車、普通重型機車 ","https://www.104.com.tw/job/6yley?jobsource=jolist_a_relevance"
"台南市安南區","月薪28,000~32,000元"," 不拘 ","Linux、Github、AJAX、C#、Java、PHP、MySQL、Oracle、HTML、JavaScript、jQuery、CSS、Sass、Node.js、ReactJS、AngularJS、VueJS贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/783pq?jobsource=jolist_a_relevance"
"新北市板橋區","月薪55,000元以上"," 不拘 ","C#贊助提升專業能力"," 1. WebApi,WCF 等Restful Service 及OAuth 開發經驗 
2. 熟悉通訊傳輸協定，如 SocketServer,WebStocket 
3. 熟悉 .Net Core 或 .Net FrameWork 4.5.2 以上
4. 熟悉分佈式，多線程等高性能架構相關技術 
5. 熟悉MSSQL(或其他關聯式資料庫) 
6. 熟悉Redis,Mongodb(或其他NoSQL) 
7. 熟悉 Scrum,Agile ","https://www.104.com.tw/job/70s6v?jobsource=jolist_a_relevance"
"台北市中山區","月薪40,000~80,000元"," 不拘 "," 不拘 "," 1、計算機相關專科以上學歷。
2、熟悉 Linux 系統、能進行基本操作和簡單腳本開發。
3、有廣泛網路知識，熟悉網路應用開發。
4、熟悉常規的 MySQL 資料庫操作。
5、有良好的程式撰寫習慣，並具備獨立解決問題的能力。

PS. 熟 WebSocket 及具備前端網頁開發經驗者更佳。 ","https://www.104.com.tw/job/5bhsl?jobsource=jolist_a_relevance"
"台中市西屯區","月薪30,000~60,000元"," 不拘 ","C#、Python、JavaScript贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/76l80?jobsource=jolist_a_relevance"
"台北市中山區","年薪750,000~1,300,000元"," 不拘 ","PHP、MySQL贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/794y9?jobsource=jolist_a_relevance"
